Column1,Column3,Column4,Column5,Column7,Column8,Column11,Column12,Column15,Column20
Callsign,Frequency,City,S/P,ERP-H,ERP-V,Lat-N,Long-W,PI Code,Slogan
KEFM-LD,87.7,SACRAMENTO,CA,3.0,0.0,38-42-28,121-28-36,1B1E,ETHNO FM
KZNO-LD,87.7,BIG BEAR LAKE,CA,3.0,0.0,34-12-46,118-03-45,5364,GUADALUPE RADIO
WNYZ-LD,87.7,NEW YORK,NY,3.0,0.0,40-56-38,73-56-38,,RADIO KOREA
WRME-LD,87.7,CHICAGO,IL,3.0,0.0,41-53-56,87-37-23,82C8,87.7 METV FM
WEYS-LD,87.7,MIAMI,FL,3.0,0.0,25-58-15,80-12-32,3D44,ALMAVISION
KBKF-LD,87.7,SAN JOSE,CA,0.6,0.0,37-06-39,121-50-37,13AD,AIR1
KXDP-LD,87.7,DENVER,CO,3.0,0.0,39-54-48,105-17-33,,LA INVASORA
WTBS-LD,87.7,ATLANTA,GA,3.0,0.0,33-44-41,84-21-36,AF87,LA QUE BUENA
WMTO-LD,87.7,NORFOLK,VA,3.0,0.0,36-31-00,76-09-42,7654,STREETZ 87.7 & 102.1
WDCN-LD,87.7,FAIRFAX,VA,3.0,0.0,38-53-45,77-08-07,,DC 87.7
WPGF-LD,87.7,MEMPHIS,TN,3.0,0.0,35-12-34,89-49-02,,RIGHT ON RADIO
KRPE-LD,87.7,SAN DIEGO,CA,0.0,0.65,32-41-46,115-56-14,ADAE,GUADALUPE RADIO
KGHD-LD,87.7,LAS VEGAS,NV,3.0,0.0,35-56-46,115-02-37,,CLUB 87.7
WVOA-LD,87.7,WESTVALE,NY,2.75,2.75,43-03-30,76-09-59,,
K200AA,87.9,SUN VALLEY,NV,0.25,0.25,39-30-06,119-44-10,,CSN INTERNATIONAL
KFCF,88.1,FRESNO,CA,2.4,2.4,37-04-23,119-25-51,,FREE SPEACH RADIO FOR CENTRAL CALIFORNIA
KSRH,88.1,SAN RAFAEL,CA,0.007,0.007,37-58-16,122-30-47,,
K201AD,88.1,"CHINA LAKE, ETC.",CA,0.0,0.009,35-28-48,117-40-59,,NEVADA PUBLIC RADIO
KPGR,88.1,PLEASANT GROVE,UT,0.115,0.115,40-21-48,111-43-30,,THE VOICE OF THE VIKINGS
WESN,88.1,BLOOMINGTON,IL,0.12,0.12,40-29-28,88-59-37,,
WFSK-FM,88.1,NASHVILLE,TN,0.7,0.0,36-10-00,86-48-17,63BA,JAZZY 88
KCNT,88.1,HASTINGS,NE,1.2,1.2,40-34-43,98-19-51,,
KICB,88.1,FORT DODGE,IA,0.2,0.2,42-29-27,94-12-01,,88.1 THE POINT
KNNB,88.1,WHITERIVER,AZ,0.63,0.63,33-45-47,109-57-39,,APACHE RADIO
WNAS,88.1,NEW ALBANY,IN,2.85,2.85,38-17-56,85-48-45,,VOICE OF THE BULLDOGS
WZUM-FM,88.1,BETHANY,WV,10.0,10.0,40-12-58,80-33-31,98C0,PITTSBURGH JAZZ CHANNEL
KCWC,88.1,RIVERTON,WY,3.0,3.0,42-34-59,108-42-36,,RUSTLER RADIO
WLTL,88.1,LA GRANGE,IL,0.18,0.18,41-48-45,87-52-51,,ROCK 88 FM
KRLX,88.1,NORTHFIELD,MN,0.1,0.1,44-27-39,93-09-21,,FREE RADIO NORTHFIELD
WCRX,88.1,CHICAGO,IL,0.1,0.1,41-52-28,87-37-30,,CHICAGO'S UNDERGROUND
KHOY,88.1,LAREDO,TX,1.8,1.8,27-31-14,99-31-19,AF24,KHOY 88.1 FM
K201AO,88.1,SEWARD,AK,0.049,0.0,60-06-10,149-26-20,,ALASKA PUBLIC MEDIA
KPPP-LP,88.1,FARGO,ND,0.022,0.022,46-52-28,96-47-03,,ATHENS ALTERNATIVE RADIO
K201AQ,88.1,HOT SPRINGS,SD,0.047,0.0,43-26-34,103-27-27,,SOUTH DAKOTA PUBLIC RADIO
WNTH,88.1,WINNETKA,IL,0.054,0.054,42-05-39,87-43-09,,THE VOICE OF NEW TRIER
WJIS,88.1,BRADENTON,FL,100.0,100.0,27-07-54,82-23-39,6D4E,THE JOY FM NETWORK
K201AP,88.1,BELLE FOURCHE,SD,0.009,0.0,44-39-24,103-50-49,,SOUTH DAKOTA PUBLIC RADIO
K201AM,88.1,GUSTAVUS,AK,0.051,0.0,58-25-04,135-42-30,,LIVE AND LOCAL
KDHX,88.1,ST. LOUIS,MO,42.0,42.0,38-25-01,90-25-59,18B9,COMMUNITY RADIO KDHX-FM/HD AND KDHX.ORG
WCRP,88.1,GUAYAMA,PR,27.0,27.0,18-06-47,66-03-08,FFFF,88.1 INSPIRA
K201BF,88.1,SCOTTY'S JUNCTION,NV,0.11,0.11,37-18-00,117-15-30,,CLASSICAL 89-7
WURC,88.1,HOLLY SPRINGS,MS,3.0,3.0,34-46-53,89-26-49,,
WKEL,88.1,WEBSTER,NY,15.0,15.0,43-04-14,77-05-35,6F83,K-LOVE
WBGU,88.1,BOWLING GREEN,OH,0.75,0.75,41-22-18,83-38-29,,THE VOICE OF BOWLING GREEN
WCHC,88.1,WORCESTER,MA,0.0,0.1,42-14-15,71-48-31,,WORCESTER'S ONLY ALTERNATIVE SOURCE
WXBA,88.1,BRENTWOOD,NY,0.18,0.18,40-46-19,73-15-19,,88X WXBA
K201BM,88.1,CANADIAN,TX,0.03,0.0,35-54-17,100-23-16,,KINGDON KEYS RADIO
WRGN,88.1,SWEET VALLEY,PA,0.5,0.5,41-17-54,76-07-28,,GOOD NEWS 88
K201BK,88.1,COQUILLE,OR,0.005,0.0,43-11-03,124-11-14,,JEFFERSON PUBLIC RADIO
WARY,88.1,VALHALLA,NY,0.042,0.039,41-04-13,73-47-25,,POWER 88.1 FM
WHIJ,88.1,OCALA,FL,1.25,1.25,29-14-16,82-07-16,67FD,THE JOY FM NETWORK
WMNR,88.1,MONROE,CT,5.0,5.0,41-19-08,73-15-13,75BB,FINE ARTS RADIO
KNLE-FM,88.1,ROUND ROCK,TX,3.0,3.0,30-26-58,97-39-44,3376,CANDLE 88
K201AH,88.1,KAKTOVIK,AK,0.039,0.0,70-07-36,143-37-10,,TOP OF THE WORLD RADIO
K201AV,88.1,POINT LAY,AK,0.048,0.0,69-43-46,163-00-59,,TOP OF THE WORLD RADIO
K201BY,88.1,"DELTA, ETC.",UT,0.0,0.05,39-21-12,112-21-06,,
WSRU,88.1,SLIPPERY ROCK,PA,0.1,0.1,41-03-43,80-02-35,,THE VOICE OF THE ROCK
K201BV,88.1,BENICIA-MARTINEZ,CA,0.004,0.0,38-00-25,122-08-38,,
K201JC,88.1,CHALLIS,ID,0.1,0.0,44-33-09,114-05-25,,RADIO VISION
WSBF-FM,88.1,CLEMSON,SC,3.0,3.0,34-40-42,82-49-15,844F,88.1 FM THE UP STATE'S ONLY TRUE ALTERNATIVE RADIO
WBFH,88.1,BLOOMFIELD HILLS,MI,0.0,0.032,42-35-28,83-16-02,,THE BIFF
KCFY,88.1,YUMA,AZ,3.0,3.0,32-38-31,114-33-34,,FAMILY FRIENDLY
WEFR,88.1,ERIE,PA,0.63,0.63,41-57-59,80-06-40,,FAMILY RADIO
WHOV,88.1,HAMPTON,VA,2.0,8.0,37-01-03,76-20-13,68A5,SMOOTH 88.1 WHOV
KTXT-FM,88.1,LUBBOCK,TX,35.0,35.0,33-34-55,101-53-25,,THE RAIDER 88.1
K201IZ,88.1,"QUARTZSITE, ETC.",AZ,0.0,0.013,33-40-03,114-03-36,,
KHID,88.1,MCALLEN,TX,2.1,2.1,26-21-42,98-19-16,,88 FM
KVSC,88.1,ST. CLOUD,MN,0.0,16.5,45-31-00,94-13-52,494A,YOUR SOUND ALTERNATIVE
WDFB-FM,88.1,DANVILLE,KY,0.17,0.17,37-35-46,84-50-19,,WDFB CHRISTIAN RADIO 1170 AM AND 88.1 FM
K201AL,88.1,PORT PROTECTION,AK,0.054,0.0,56-19-15,133-01-45,,KFSK ALASKA RADIO
W201DP,88.1,ASHTABULA,OH,0.038,0.038,41-51-51,80-47-10,,WYSU 88.5
